date;Number_of_deaths;Number_of_deaths_rep_lag
25/5/21;8;11
26/5/21;9;4
27/5/21;7;8
28/5/21;8;9
29/5/21;3;7
30/5/21;8;8
31/5/21;6;3
1/6/21;1;8
2/6/21;6;6
3/6/21;6;1
4/6/21;14;6
5/6/21;3;6
6/6/21;3;14
7/6/21;5;3
8/6/21;4;3
9/6/21;7;5
10/6/21;3;4
11/6/21;1;7
12/6/21;2;3
13/6/21;0;1
14/6/21;4;2
15/6/21;2;0
16/6/21;2;4
17/6/21;1;2
18/6/21;3;2
19/6/21;2;1
20/6/21;3;3
21/6/21;2;2
22/6/21;3;3
23/6/21;0;2
24/6/21;2;3
25/6/21;2;0
26/6/21;0;2
27/6/21;0;2
28/6/21;2;0
29/6/21;1;0
30/6/21;1;2
1/7/21;1;1
2/7/21;1;1
3/7/21;2;1
4/7/21;0;1
5/7/21;0;2
6/7/21;2;0
7/7/21;0;0
8/7/21;0;2
9/7/21;0;0
10/7/21;0;0
11/7/21;1;0
12/7/21;0;0
13/7/21;0;1
14/7/21;0;0
15/7/21;1;0
16/7/21;0;0
17/7/21;1;1
18/7/21;0;0
19/7/21;0;1
20/7/21;0;0
21/7/21;1;0
22/7/21;1;0
23/7/21;1;1
24/7/21;0;1
25/7/21;0;1
26/7/21;0;0
27/7/21;0;0
28/7/21;1;0
29/7/21;2;0
30/7/21;1;1
31/7/21;0;2
1/8/21;0;1
2/8/21;0;0
3/8/21;0;0
4/8/21;0;0
5/8/21;2;0
6/8/21;3;0
7/8/21;0;2
8/8/21;2;3
9/8/21;0;0
10/8/21;1;2
11/8/21;0;0
12/8/21;1;1
13/8/21;2;0
14/8/21;1;1
15/8/21;1;2
16/8/21;0;1
17/8/21;3;1
18/8/21;1;0
19/8/21;2;3
20/8/21;2;1
21/8/21;1;2
22/8/21;2;2
23/8/21;5;1
24/8/21;5;2
25/8/21;3;5
26/8/21;1;5
27/8/21;0;3
28/8/21;1;1
29/8/21;5;0
30/8/21;3;1
31/8/21;2;5
1/9/21;2;3
2/9/21;6;2
3/9/21;3;2
4/9/21;4;6
5/9/21;6;3
6/9/21;4;4
7/9/21;4;6
8/9/21;10;4
9/9/21;8;4
10/9/21;11;10
11/9/21;4;8
12/9/21;8;11
13/9/21;8;4
14/9/21;8;8
15/9/21;8;8
16/9/21;12;8
17/9/21;7;8
18/9/21;3;12
19/9/21;6;7
20/9/21;4;3
21/9/21;7;6
22/9/21;10;4
23/9/21;6;7
24/9/21;5;10
25/9/21;4;6
26/9/21;5;5
27/9/21;3;4
28/9/21;4;5
29/9/21;7;3
30/9/21;5;4
1/10/21;5;7
2/10/21;6;5
3/10/21;9;5
4/10/21;5;6
5/10/21;6;9
6/10/21;11;5
7/10/21;8;6
8/10/21;8;11
9/10/21;6;8
10/10/21;5;8
